,Sample,Label,Color,Marker,Size,Alpha,pH,Ca,Mg,Na,K,HCO3,CO3,Cl,SO4,TDS
109,W12_2013_10,C4,#67ACE6,o,20,0.6,6.94,135.1,31.5,97.19,0,242.35,0,126.19,161.2,988.0
110,W12_2014_8,C4,#67ACE6,o,20,0.6,7.69,188.53,33.35,65.15,0,104.37,0,136.22,168.94,1069.26
111,W12_2014_12,C4,#67ACE6,o,20,0.6,7.52,121.44,31.67,98.5,0,216.4,0,161.21,193.64,853.12
112,W12_2015_4,C2,#E9C832,o,20,0.6,8.17,98.6,51.65,189.33,0,254.24,0,255.54,239.77,1130.42
113,W12_2015_9,C2,#E9C832,o,20,0.6,8.04,158.31,41.34,117.36,0,331.98,0,147.92,254.13,1184.72
114,W12_2016_6,C2,#E9C832,o,20,0.6,6.85,160.62,33.58,139.04,0,361.35,0,209.07,348.97,1312.46
115,W12_2016_11,C4,#67ACE6,o,20,0.6,7.8,143.31,27.75,90.41,0,263.03,0,170.34,199.38,903.69
116,W12_2017_7,C4,#67ACE6,o,20,0.6,7.38,113.8,28.11,46.81,0,182.57,0,64.43,137.07,584.0
117,W12_2017_10,C4,#67ACE6,o,20,0.6,7.39,197.13,39.12,88.41,0,298.68,0,141.66,183.73,1156.0
118,W9_2001_6,C4,#67ACE6,o,20,0.6,8.0,92.35,27.6,45.4,0,100.27,0,70.59,156.28,642.66
119,W9_2002_9,C4,#67ACE6,o,20,0.6,7.0,127.78,28.49,64.17,0,214.85,0,113.41,160.23,724.09
120,W9_2003_6,C4,#67ACE6,o,20,0.6,8.4,107.5,37.44,67.45,0,55.27,0,136.84,135.48,830.18
121,W9_2004_9,C4,#67ACE6,o,20,0.6,7.5,88.6,64.5,43.5,0,281.0,0,130.0,108.0,926.0
122,W9_2005_4,C4,#67ACE6,o,20,0.6,7.9,76.4,14.8,17.3,0,181.0,0,118.0,76.2,631.0
123,W9_2006_9,C4,#67ACE6,o,20,0.6,7.9,143.0,21.3,47.1,0,280.0,0,119.0,179.0,859.31
124,W9_2007_4,C4,#67ACE6,o,20,0.6,8.1,190.0,4.3,95.8,0,281.0,0,116.0,133.0,786.0
125,W9_2008_9,C4,#67ACE6,o,20,0.6,7.7,139.0,14.0,99.8,0,205.0,0,116.0,182.0,788.0
126,W9_2009_4,C4,#67ACE6,o,20,0.6,7.5,186.9,14.7,61.3,0,295.0,0,122.0,146.0,856.4
127,W9_2011_4,C4,#67ACE6,o,20,0.6,7.4,67.2,24.0,139.2,0,170.9,0,128.0,152.0,794.13
128,W9_2011_9,C3,#89C667,o,20,0.6,7.6,83.7,29.9,187.9,0,367.7,0,82.6,141.0,1112.89
129,W9_2012_4,C3,#89C667,o,20,0.6,7.5,76.2,27.2,224.1,0,404.1,0,116.0,138.0,988.0
